Last Name,First Name,alternate_id,imodules_id,pref_first_name,email_address,Class Year,Registrant - 9822 - Is Registered,Campus Tour - Is attending,Campus Tour - 9842 - Is Registered,Welcome Cocktail Reception - Is attending,Welcome Cocktail Reception - RW15 - Friday Cocktail Reception,Fee Name (Welcome Cocktail Reception - RW15 - Friday Cocktail Reception),Welcome Cocktail Reception - RW15 - Friday Cocktail Reception - total_price_paid,Welcome Cocktail Reception - 9876 - Is Registered,2000 Friday Night Class Event - Is attending,2000 Friday Night Class Event - RW15 - Friday 2000 Event Fee,Fee Name (2000 Friday Night Class Event - RW15 - Friday 2000 Event Fee),2000 Friday Night Class Event - RW15 - Friday 2000 Event Fee - total_price_paid,2000 Friday Night Class Event - 9893 - Is Registered,Evening Cocktails Dinner  Gala - Is attending,Evening Cocktails Dinner  Gala - RW15 - Saturday Gala,Fee Name (Evening Cocktails Dinner  Gala - RW15 - Saturday Gala),Evening Cocktails Dinner  Gala - RW15 - Saturday Gala - total_price_paid,"Evening Cocktails, Dinner & Gala - 10036 - Is Registered",Guest of,Date Added
Madison,James,5,10,James,jamesmadison@nosuchemail.com,2012,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,,
Jackson,Rachel,,11,Rachel,racheljackson@nosuchemail.com,NONE,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,"Jackson, Andrew",
Jackson,Andrew,6,12,Andrew,andrewjackson@nosuchemail.com,2014,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,,
Monroe,James,7,13,Jim,jamesmonroe@nosuchemail.com,NONE,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,0,,0,FALSE,FALSE,0,,0,FALSE,,4/14/15 11:28
Van Buren,Martin,8,14,Martin,martinvanburen@nosuchemail.com,1990,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,0,,0,FALSE,TRUE,1,Adult,80,TRUE,,3/25/15 14:25
Van Buren,Hannah,9,15,Hannah,hannahvanburen@nosuchemail.com,1990,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,0,,0,FALSE,TRUE,1,Adult,80,TRUE,,3/25/15 14:17
Harrison,Anna,10,16,Anna,annaharrison@nosuchemail.com,1995,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,,
Harrison,Anna,10,16,Anna,annaharrison@nosuchemail.com,1995,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,TRUE,,,,TRUE,,
Harrison,Anna,10,16,Anna,annaharrison@nosuchemail.com,1995,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,TRUE,,,,TRUE,,
Tyler,John,11,17,Jack,jacktyler@nosuchemail.com,1995,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,TRUE,1,Adult,80,TRUE,,
Tyler,John,11,17,Jack,jacktyler@nosuchemail.com,1995,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,TRUE,,,,TRUE,,
Tyler,John,11,17,Jack,jacktyler@nosuchemail.com,1995,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,TRUE,,,,TRUE,,
Polk,Sarah,12,18,Sarah,sarahpolk@nosuchemail.com,2010,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,,
Polk,Sarah,12,18,Sarah,sarahpolk@nosuchemail.com,2010,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,,
Polk,Sarah,12,18,Sarah,sarahpolk@nosuchemail.com,2010,TRUE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,FALSE,,,,FALSE,,
Polk,James,,19,Jimmy,jamespolk@nosuchemail.com,NONE,TRUE,FALSE,FALSE,FALSE,0,,0,FALSE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,"Polk, Sarah",
Tyler,Letitia,,20,Letitia,letitiatyler@nosuchemail.com,NONE,TRUE,FALSE,FALSE,TRUE,1,Adult,25,TRUE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,"Tyler, John",
Tyler,Letitia,,20,Letitia,letitiatyler@nosuchemail.com,NONE,TRUE,FALSE,FALSE,TRUE,0,,0,TRUE,FALSE,,,,FALSE,FALSE,0,,0,FALSE,"Tyler, John",
